Rank,Username,Categories,Subscribers,ISO-2,ISO-3,Average Visits,Average Likes,Average Comments
81,shfa-1,Lifestyle_(sociology),39100000.00,AE,ARE,"5,300,000","57,300",0
82,vladvaniki1,Hobby,38700000.00,US,USA,"890,600","3,400",0
83,TheEllenShow,Television_program,38300000.00,US,USA,"26,000",433,22
84,DaddyYankee,Music_of_Latin_America,38300000.00,US,USA,"82,800","6,500",123
85,LikeNastya_ESP,Lifestyle_(sociology),38100000.00,US,USA,"403,800","1,800",0
86,one31official,Television_program,38100000.00,TH,THA,"4,800",122,1
87,ABPNEWS,Society,38100000.00,IN,IND,"2,400",59,0
88,MariaClaraeJP,Lifestyle_(sociology),37700000.00,BR,BRA,"1,700,000","10,800",0
89,YouTube,Association_football,37500000.00,US,USA,"101,200","3,400",364
90,PowerKidstv,Film,37400000.00,IE,IRL,"41,700",0,0
91,Jkk_Entertainment,Entertainment,37300000.00,IN,IND,"2,300,000","20,100",363
92,UltraBollywood,Film,37300000.00,IN,IND,"24,300",185,10
93,SaregamaMusic,Music_of_Asia,37000000.00,IN,IND,"27,300",703,26
94,RicisOfficial1795,Lifestyle_(sociology),36900000.00,ID,IDN,"343,800","27,500",357
95,beterbocuk,Entertainment,36800000.00,TR,TUR,"1,000,000","54,100",214
96,IndiaTV,Politics,36700000.00,IN,IND,"14,300",255,3
97,LaGranjaDeZenon,Film,36600000.00,AR,ARG,"599,800","5,200",0
98,tseriesoldisgold,Music_of_Asia,36500000.00,IN,IND,"41,100","1,200",8
99,Ozuna,Hip_hop_music,36300000.00,PR,PRI,"22,700","2,400",76
100,TotalGaming093,Role-playing_video_game,36300000.00,IN,IND,"1,500,000","129,400","4,900"
101,GenevievesPlayhouse,Hobby,35700000.00,US,USA,"965,500",824,0
102,TechnoGamerzOfficial,Video_game_culture,35600000.00,IN,IND,"6,200,000","341,800","16,500"
103,RyansWorld,Lifestyle_(sociology),35500000.00,US,USA,"326,500","2,000",0
104,markiplier,Action-adventure_game,35500000.00,US,USA,"2,100,000","126,500","3,800"
105,tseriesapnapunjab,Music,35000000.00,IN,IND,"23,300",601,27
106,JingleToons,Entertainment,35000000.00,IN,IND,"111,400",641,0
107,thedonato,Lifestyle_(sociology),34700000.00,AR,ARG,"710,700","42,400",541
108,YOLOAVENTURAS,Lifestyle_(sociology),34600000.00,MX,MEX,"1,100,000","73,600",0
109,GeetMP3,Music,34500000.00,IN,IND,0,0,0
110,Rajshri,Film,34200000.00,IN,IND,"13,700",119,4
111,starplus,Entertainment,34200000.00,IN,IND,"10,500",267,6
112,jbalvin,Music,34200000.00,CO,COL,"16,900","1,600",60
113,SSSniperWolf,Lifestyle_(sociology),34200000.00,US,USA,"1,200,000","34,600","2,100"
114,Ch3Thailand,Television_program,34000000.00,TH,THA,"34,500",442,8
115,vegetta777,Action-adventure_game,34000000.00,ES,ESP,"249,900","19,400",209
116,NoCopyrightSounds,Electronic_music,33600000.00,GB,GBR,"191,100","6,900",363
117,KHANDESHIMOVIES,Film,33600000.00,IN,IND,"758,300","6,200",136
118,babybus,Film,33300000.00,US,USA,"267,300",623,0
119,DisneyMusicVEVO,Music,33200000.00,US,USA,"276,900","3,200",198
